item_type,item_id,title,decision,source_count
scholarly_work,work-e8c49c70d612a14f1cce05da,汉坦病毒感染中胃肠道、肝胆道和胰腺受累的谱系：叙述性综述。,headline,2
scholarly_work,work-b26a31446c4e97be9b22232e,2026 年邮轮关联的安第斯 hantavirus 爆发及公共卫生应对。,headline,2
scholarly_work,work-c145b9916eed0f2d5ed7de3b,中文标题暂不可用,headline,2
scholarly_work,work-fb272e575c9aa9e9f3f71b3b,中文标题暂不可用,headline,2
scholarly_work,work-09e9d4db3e9b27d5d04c4f8f,中文标题暂不可用,brief,1
scholarly_work,work-eff16bd1991afc42885881ed,郵輪上的漢他病毒：COVID-19 教給我們的教訓,brief,1
scholarly_work,work-24595e6f0f7e4676a68be705,为下一场疫情做准备：从 COVID-19 学习，构建未来的防御,brief,1
scholarly_work,work-dcbbc9fbd8008d9b406c3f47,变化世界中的汉坦病毒感染：流行病学、发病机制和一体化健康挑战。,headline,2
scholarly_work,work-42d5a401efd4a0641cc92f0b,中文标题暂不可用,brief,1
scholarly_work,work-26d41b33804b556d0e838645,绹永永专中三永主。和不得一中为海永永永。,brief,1
scholarly_work,work-412a01ebc11cdf225065abdc,中文标题暂不可用,brief,1
scholarly_work,work-332fb645e31ec2d1b01591bd,首次在马来西亚的野生 Rattus 物种中检测和遗传特征分析猪圆环病毒 2,brief,1
scholarly_work,work-261800c4a15fce7cab542257,汉坦病毒——再次成为新闻焦点,brief,1
scholarly_work,work-6eef5c5c90eeadcada4f4eb6,中文标题暂不可用,headline,3
scholarly_work,work-7da09839fc167eff558a71fb,正黏病毒宿主的分布与丰富度：对南美洲南部人畜共患风险的启示,headline,4
scholarly_work,work-7cc638ddc8ee234f30b363ee,观看船只，忽视森林：为什么生态溢出、储存宿主生态学和环境变化仍是北美真正的汉坦病毒威胁。,headline,2
scholarly_work,work-eb7a9799ea2e8d5540d24db1,对拉沙病毒流行区尼日利亚土地利用对人-啮齿动物界面影响的当地知识,archive,1
scholarly_work,work-04a2c2a44a2bbc82da85d9fa,鼠类肝炎E病毒（Rocahepevirus ratti）：全球证据、知识空白和人畜共患病风险,archive,1
public_health_event,event-f6855b99bb28ae38a6599bed,与邮轮相关的汉坦病毒疫情已正式结束,headline,1
public_health_event,event-ff6b7516cfba3bf56e1f1898,杰克曼·格雷和贝丝·阿拉卡瓦获得悲剧死亡的纪念牌,brief,1
public_health_event,event-f9a54b940eaa783f92566d20,发现了引起神经症状的咸鼠疫感染,archive,1
public_health_event,event-864478194902cb98ed04dd8e,病毒试验 - 温尼伯自由新闻,brief,1
public_health_event,event-6e71d44bf871054e3f83f432,中文标题暂不可用,brief,1
public_health_event,event-079ec8abc463bbb934681fcd,中文标题暂不可用,archive,1
public_health_event,event-b48e49f0a7bcc25cadfcef0c,中文标题暂不可用,headline,1
public_health_event,event-08ef411c1ba02d516b3d6947,中文标题暂不可用,archive,1
public_health_event,event-49dec3433c7148c7844bbe7d,你需要知道的汉坦病毒早期症状 - MSN,archive,1
public_health_event,event-397d4677580b0b910359a856,汉坦病毒疫情引发对行业在卫生紧急事件中的作用的关注 - Think Global Health,headline,1
public_health_event,event-294366222a9250cfed72eac4,汉坦病毒疫情为下一次大流行提供经验教训 - Earth.com,archive,1
public_health_event,event-5a0e5a8bfa33e5d4ec48f5e0,世界卫生组织宣布游轮汉坦病毒疫情结束 - TRT World,archive,1
public_health_event,event-e3756490debe95bc3cf087b5,美国公民在汉坦病毒游轮上接受内布拉斯加医学中心监测 - 美国医院协会,headline,1
public_health_event,event-edad6048ba332f8db9b84b3f,明显汉坦病毒疫情在游轮上导致 3 人死亡，至少 3 人患病 - AOL.com,headline,1
public_health_event,event-95260297f153d5fa0c22aa69,游轮汉坦病毒疫情正式结束 - 明星报,archive,1
public_health_event,event-91989a1645d8ee23266c41b4,特朗普称伊朗袭击为‘小事’，以及六旗汉坦病毒疫情的最新情况 (o8ggSUz5AN) - Mshale,headline,1
public_health_event,event-1c60c459b06ac539b94df4c3,五名来自汉坦病毒肆虐游轮的乘客在奥马哈解除隔离 - 奥马哈世界先驱报,headline,1
